Code,Trouble Code System,Condition Description
P0AD5,Powertrain,Hybrid Battery Pack Air Flow Valve  - Control Circuit/Open
P0AD6,Powertrain,Range/Performance
P0AD7,Powertrain,Hybrid Battery Pack Air Flow Valve  - Control Circuit Low 
P0AD8,Powertrain,Hybrid Battery Pack Air Flow Valve  - Control Circuit High 
P0AD9,Powertrain,Hybrid Battery Positive Contactor Control Circuit/Open
P0ADA,Powertrain,Range/Performance
P0ADB,Powertrain,Hybrid Battery Positive Contactor Control Circuit Low
P0ADC,Powertrain,Hybrid Battery Positive Contactor Control Circuit High
P0ADD,Powertrain,Hybrid Battery Negative Contactor Control Circuit/Open
P0ADE,Powertrain,Range/Performance 
P0ADF,Powertrain,Hybrid Battery Negative Contactor Control Circuit Low
P0AE0,Powertrain,Hybrid Battery Negative Contactor Control Circuit High
P0AE1,Powertrain,Hybrid Battery Precharge Contactor Circuit 
P0AE2,Powertrain,Hybrid Battery Precharge Contactor Circuit Stuck Closed 
P0AE3,Powertrain,Hybrid Battery Precharge Contactor Circuit Stuck Open 
P0AE4,Powertrain,Hybrid Battery Precharge Contactor Control Circuit
P0AE5,Powertrain,Range/Performance 
P0AE6,Powertrain,Hybrid Battery Precharge Contactor Control Circuit Low
P0AE7,Powertrain,Hybrid Battery Precharge Contactor Control Circuit High
P0AE8,Powertrain,Hybrid Battery Temperature Sensor - Circuit 
P0AE9,Powertrain,Hybrid Battery Temperature Sensor - Range/Performance
P0AEA,Powertrain,Hybrid Battery Temperature Sensor - Circuit Low
P0AEB,Powertrain,Hybrid Battery Temperature Sensor - Circuit High
P0AEC,Powertrain,Hybrid Battery Temperature Sensor - Circuit Intermittent/Erratic
P0AED,Powertrain,Drive Motor Inverter Temperature Sensor  - Circuit 
P0AEE,Powertrain,Range/Performance
P0AEF,Powertrain,Drive Motor Inverter Temperature Sensor  - Circuit Low
P0AF0,Powertrain,Drive Motor Inverter Temperature Sensor  - Circuit High
P0AF1,Powertrain,Intermittent/Erratic
P0AF2,Powertrain,Drive Motor Inverter Temperature Sensor  - Circuit
P0AF3,Powertrain,Range/Performance
P0AF4,Powertrain,Drive Motor Inverter Temperature Sensor  - Circuit Low
P0AF5,Powertrain,Drive Motor Inverter Temperature Sensor  - Circuit High
P0AF6,Powertrain,Intermittent/Erratic 
P0AF7,Powertrain,14 Volt Power Module Internal Temperature Too High
P0AF8,Powertrain,Hybrid Battery System Voltage
P0AF9,Powertrain,Hybrid Battery System Voltage Unstable 
P0AFA,Powertrain,Hybrid Battery System Voltage Low 
P0AFB,Powertrain,Hybrid Battery System Voltage High
P0AFC,Powertrain,Hybrid Battery Pack Sensor Module
P0AFD,Powertrain,Hybrid Battery Pack Temperature Too Low
P0AFE,Powertrain,Conversion 
P0AFF,Powertrain,System Voltage Too Low for Voltage Step Down Conversion
P0B00,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase U Current
P0B01,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase U Current Low 
P0B02,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase U Current High
P0B03,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase V Current 
P0B04,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase V Current Low 
P0B05,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase V Current High
P0B06,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase W Current 
P0B07,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase W Current Low
P0B08,Powertrain,Auxiliary Transmission Fluid Pump Motor Phase W Current High
P0B09,Powertrain,Auxiliary Transmission Fluid Pump Motor Supply Voltage Circuit/Open
P0B0A,Powertrain,Auxiliary Transmission Fluid Pump Motor Supply Voltage Circuit Low
P0B0B,Powertrain,Auxiliary Transmission Fluid Pump Motor Supply Voltage Circuit High
P0B0C,Powertrain,Auxiliary Transmission Fluid Pump Hydraulic Leakage
P0B0D,Powertrain,Auxiliary Transmission Fluid Pump Motor Control Module
P0B0E,Powertrain,Hybrid Battery Pack Current Sensor  - Circuit 
P0B0F,Powertrain,Hybrid Battery Pack Current Sensor  - Circuit Range/Performance 
P0B10,Powertrain,Hybrid Battery Pack Current Sensor  - Circuit Low 
P0B11,Powertrain,Hybrid Battery Pack Current Sensor  - Circuit High
P0B12,Powertrain,Hybrid Battery Pack Current Sensor  - Circuit Intermittent/Erratic 
P0B13,Powertrain,Hybrid Battery Pack Current Sensor   - Correlation 
P0B14,Powertrain,Hybrid Battery Pack Voltage Sense  - Circuit 
P0B15,Powertrain,Hybrid Battery Pack Voltage Sense  - Circuit Range/Performance 
P0B16,Powertrain,Hybrid Battery Pack Voltage Sense  - Circuit Low 
P0B17,Powertrain,Hybrid Battery Pack Voltage Sense  - Circuit High 
P0B18,Powertrain,Hybrid Battery Pack Voltage Sense  - Circuit Intermittent/Erratic
P0B19,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit
P0B1A,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit Range/Performance
P0B1B,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit Low 
P0B1C,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit High
P0B1D,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit Intermittent/Erratic
P0B1E,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit
P0B1F,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit Range/Performance
P0B20,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit Low 
P0B21,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit High 
P0B22,Powertrain,Hybrid Battery Pack Voltage Sense - Circuit Intermittent/Erratic 
P0B23,Powertrain,Hybrid Battery  - Voltage 
P0B24,Powertrain,Hybrid Battery  - Voltage Unstable
P0B25,Powertrain,Hybrid Battery  - Voltage Low 
P0B26,Powertrain,Hybrid Battery  - Voltage High 
P0B27,Powertrain,Hybrid Battery  - Voltage 
P0B28,Powertrain,Hybrid Battery  - Voltage Unstable
P0B29,Powertrain,Hybrid Battery  - Voltage Low 
P0B2A,Powertrain,Hybrid Battery  - Voltage High
P0B2B,Powertrain,Hybrid Battery - Voltage
P0B2C,Powertrain,Hybrid Battery - Voltage Unstable
P0B2D,Powertrain,Hybrid Battery - Voltage Low
P0B2E,Powertrain,Hybrid Battery - Voltage High
P0B2F,Powertrain,Hybrid Battery - Voltage
P0B30,Powertrain,Hybrid Battery - Voltage Unstable 
P0B31,Powertrain,Hybrid Battery - Voltage Low
P0B32,Powertrain,Hybrid Battery - Voltage High 
P0B33,Powertrain,High Voltage Service Disconnect Circuit
P0B34,Powertrain,High Voltage Service Disconnect Circuit Performance
P0B35,Powertrain,High Voltage Service Disconnect Circuit Low 
P0B36,Powertrain,High Voltage Service Disconnect Circuit High 
P0B37,Powertrain,High Voltage Service Disconnect Open 
P0B38,Powertrain,Motor Electronics Coolant Pump  - Control Circuit/Open 
P0B39,Powertrain,Motor Electronics Coolant Pump  - Control Circuit Low
P0B3A,Powertrain,Motor Electronics Coolant Pump  - Control Circuit High
P0B3B,Powertrain,Hybrid Battery Voltage Sense  - Circuit
P0B3C,Powertrain,Hybrid Battery Voltage Sense  - Circuit Range/Performance
P0B3D,Powertrain,Hybrid Battery Voltage Sense  - Circuit Low 
P0B3E,Powertrain,Hybrid Battery Voltage Sense  - Circuit High 
P0B3F,Powertrain,Hybrid Battery Voltage Sense  - Circuit Intermittent/Erratic
P0B40,Powertrain,Hybrid Battery Voltage Sense  - Circuit 
P0B41,Powertrain,Hybrid Battery Voltage Sense  - Circuit Range/Performance 
P0B42,Powertrain,Hybrid Battery Voltage Sense  - Circuit Low 
P0B43,Powertrain,Hybrid Battery Voltage Sense  - Circuit High
P0B44,Powertrain,Hybrid Battery Voltage Sense  - Circuit Intermittent/Erratic 
P0B45,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B46,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B47,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0B48,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B49,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B4A,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B4B,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B4C,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B4D,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B4E,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B4F,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B50,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B51,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0B52,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B53,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B54,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B55,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B56,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B57,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B58,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B59,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B5A,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B5B,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B5C,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B5D,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B5E,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B5F,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B60,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B61,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B62,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B63,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B64,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B65,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B66,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B67,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B68,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B69,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B6A,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B6B,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B6C,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B6D,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B6E,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B6F,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B70,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B71,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B72,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B73,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B74,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B75,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B76,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B77,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B78,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B79,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B7A,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B7B,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B7C,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B7D,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B7E,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B7F,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B80,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B81,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B82,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B83,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0B84,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B85,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B86,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B87,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B88,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B89,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B8A,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0B8B,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B8C,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B8D,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0B8E,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B8F,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B90,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0B91,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B92,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B93,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B94,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B95,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B96,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0B97,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B98,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0B99,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B9A,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0B9B,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0B9C,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0B9D,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0B9E,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0B9F,Powertrain,Hybrid Battery Voltage Sense - Circuit 
P0BA0,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0BA1,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0BA2,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0BA3,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0BA4,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0BA5,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0BA6,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0BA7,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0BA8,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0BA9,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0BAA,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0BAB,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0BAC,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0BAD,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0BAE,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0BAF,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance
P0BB0,Powertrain,Hybrid Battery Voltage Sense - Circuit Low
P0BB1,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0BB2,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic
P0BB3,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0BB4,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0BB5,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0BB6,Powertrain,Hybrid Battery Voltage Sense - Circuit High 
P0BB7,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0BB8,Powertrain,Hybrid Battery Voltage Sense - Circuit
P0BB9,Powertrain,Hybrid Battery Voltage Sense - Circuit Range/Performance 
P0BBA,Powertrain,Hybrid Battery Voltage Sense - Circuit Low 
P0BBB,Powertrain,Hybrid Battery Voltage Sense - Circuit High
P0BBC,Powertrain,Hybrid Battery Voltage Sense - Circuit Intermittent/Erratic 
P0BBD,Powertrain,Hybrid Battery Pack Voltage Variation Exceeded Limit 
P0BBE,Powertrain,Hybrid Battery Pack Voltage Variation
P0BBF,Powertrain,Hybrid Battery Pack Cooling Fan Supply Voltage Circuit/Open 
P0BC0,Powertrain,Hybrid Battery Pack Cooling Fan Supply Voltage Circuit Low 
P0BC1,Powertrain,Hybrid Battery Pack Cooling Fan Supply Voltage Circuit High
P0BC2,Powertrain,Hybrid Battery Temperature Sensor - Circuit 
P0BC3,Powertrain,Hybrid Battery Temperature Sensor - Range/Performance
P0BC4,Powertrain,Hybrid Battery Temperature Sensor - Circuit Low 
P0BC5,Powertrain,Hybrid Battery Temperature Sensor - Circuit High
P0BC6,Powertrain,Hybrid Battery Temperature Sensor - Circuit Intermittent/Erratic 
P0BC7,Powertrain,Hybrid Battery Pack Cooling Fan Sense Circuit/Open
P0BC8,Powertrain,Hybrid Battery Pack Cooling Fan Sense Range/Performance 
P0BC9,Powertrain,Hybrid Battery Pack Cooling Fan Sense Circuit Low 
P0BCA,Powertrain,Hybrid Battery Pack Cooling Fan Sense Circuit High 
P0BCB,Powertrain,Hybrid Battery Pack Cooling Fan Sense Circuit Intermittent/Erratic
P0BCC,Powertrain,Generator Inverter Temperature Sensor Circuit
P0BCD,Powertrain,Generator Inverter Temperature Sensor Circuit Range/Performance 
P0BCE,Powertrain,Generator Inverter Temperature Sensor Circuit Low 
P0BCF,Powertrain,Generator Inverter Temperature Sensor Circuit High 
P0BD0,Powertrain,Generator Inverter Temperature Sensor Circuit Intermittent/Erratic 
P0BD1,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit
P0BD2,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Range/Performance
P0BD3,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Low 
P0BD4,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit High 
P0BD5,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Intermittent/Erratic
P0BD6,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit
P0BD7,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Range/Performance 
P0BD8,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Low
P0BD9,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit High
P0BDA,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Intermittent/Erratic
P0BDB,Powertrain,Drive Motor Inverter Temperature Sensor - Circui
P0BDC,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Range/Performance 
P0BDD,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Low
P0BDE,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit High 
P0BDF,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Intermittent/Erratic
P0BE0,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit 
P0BE1,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Range/Performance 
P0BE2,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Low 
P0BE3,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit High
P0BE4,Powertrain,Drive Motor Inverter Temperature Sensor - Circuit Intermittent/Erratic
P0BE5,Powertrain,Drive Motor  - Phase U Current Sensor Circuit
P0BE6,Powertrain,Drive Motor  - Phase U Current Sensor Circuit Range/Performance
P0BE7,Powertrain,Drive Motor  - Phase U Current Sensor Circuit Low 
P0BE8,Powertrain,Drive Motor  - Phase U Current Sensor Circuit High
P0BE9,Powertrain,Drive Motor  - Phase V Current Sensor Circuit
P0BEA,Powertrain,Drive Motor  - Phase V Current Sensor Circuit Range/Performance 
P0BEB,Powertrain,Drive Motor  - Phase V Current Sensor Circuit Low
P0BEC,Powertrain,Drive Motor  - Phase V Current Sensor Circuit High
P0BED,Powertrain,Drive Motor  - Phase W Current Sensor Circuit
P0BEE,Powertrain,Drive Motor  - Phase W Current Sensor Circuit Range/Performance 
P0BEF,Powertrain,Drive Motor  - Phase W Current Sensor Circuit Low
P0BF0,Powertrain,Drive Motor  - Phase W Current Sensor Circuit High 
P0BF1,Powertrain,Drive Motor  - Phase U Current Sensor Circuit 
P0BF2,Powertrain,Drive Motor  - Phase U Current Sensor Circuit Range/Performance 
P0BF3,Powertrain,Drive Motor  - Phase U Current Sensor Circuit Low
P0BF4,Powertrain,Drive Motor  - Phase U Current Sensor Circuit High
P0BF5,Powertrain,Drive Motor  - Phase V Current Sensor Circuit 
P0BF6,Powertrain,Drive Motor  - Phase V Current Sensor Circuit Range/Performance
P0BF7,Powertrain,Drive Motor  - Phase V Current Sensor Circuit Low 
P0BF8,Powertrain,Drive Motor  - Phase V Current Sensor Circuit High 
P0BF9,Powertrain,Drive Motor  - Phase W Current Sensor Circuit
P0BFA,Powertrain,Drive Motor  - Phase W Current Sensor Circuit Range/Performance 
P0BFB,Powertrain,Drive Motor  - Phase W Current Sensor Circuit Low 
P0BFC,Powertrain,Drive Motor  - Phase W Current Sensor Circuit High 
P0BFD,Powertrain,Drive Motor  - Phase U-V-W Current Sensor Correlation
P0BFE,Powertrain,Drive Motor  - Phase U-V-W Current Sensor Correlation 
P0BFF,Powertrain,Drive Motor  - Current
P0C00,Powertrain,Drive Motor  - Current Low 
P0C01,Powertrain,Drive Motor  - Current High P0C02 Drive Motor  - Current
P0C03,Powertrain,Drive Motor  - Current Low 
P0C04,Powertrain,Drive Motor  - Current High 
P0C05,Powertrain,Drive Motor  - Phase U-V-W Circuit/Open 
P0C06,Powertrain,Drive Motor  - Phase U-V-W Circuit Low
P0C07,Powertrain,Drive Motor  - Phase U-V-W Circuit High
P0C08,Powertrain,Drive Motor  - Phase U-V-W Circuit/Open 
P0C09,Powertrain,Drive Motor  - Phase U-V-W Circuit Low
P0C0A,Powertrain,Drive Motor  - Phase U-V-W Circuit High
P0C0B,Powertrain,Drive Motor  - Inverter Power Supply Circuit/Open
P0C0C,Powertrain,Drive Motor  - Inverter Power Supply Circuit Low
P0C0D,Powertrain,Drive Motor  - Inverter Power Supply Circuit High
P0C0E,Powertrain,Drive Motor  - Inverter Power Supply Circuit/Open 
P0C0F,Powertrain,Drive Motor  - Inverter Power Supply Circuit Low 
P0C10,Powertrain,Drive Motor  - Inverter Power Supply Circuit High 
P0C11,Powertrain,Drive Motor  - Inverter Phase U Over Temperature 
P0C12,Powertrain,Drive Motor  - Inverter Phase V Over Temperature
P0C13,Powertrain,Drive Motor  - Inverter Phase W Over Temperature
P0C14,Powertrain,Drive Motor  - Inverter Phase U Over Temperature
P0C15,Powertrain,Drive Motor  - Inverter Phase V Over Temperature
P0C16,Powertrain,Drive Motor  - Inverter Phase W Over Temperature
P0C17,Powertrain,Drive Motor  - Position Sensor Not Learned 
P0C18,Powertrain,Drive Motor  - Position Sensor Not Learned
P0C19,Powertrain,Drive Motor  - Torque Delivered Performance
P0C1A,Powertrain,Drive Motor  - Torque Delivered Performance
P0C1B,Powertrain,Auxiliary Transmission Fluid Pump Control Module Internal Temperature Too High 
P0C1C,Powertrain,Auxiliary Transmission Fluid Pump Control Module Internal Temperature Sensor Circuit 
P0C1D,Powertrain,Auxiliary Transmission Fluid Pump Control Module Internal Temperature Sensor Circuit Range/Performance 
P0C1E,Powertrain,Auxiliary Transmission Fluid Pump Control Module Internal Temperature Sensor Circuit Low
P0C1F,Powertrain,Auxiliary Transmission Fluid Pump Control Module Internal Temperature Sensor Circuit High 
P0C20,Powertrain,Auxiliary Transmission Fluid Pump Phase U-V-W Circuit/Open 
P0C21,Powertrain,Auxiliary Transmission Fluid Pump Phase U-V-W Circuit Low
P0C22,Powertrain,Auxiliary Transmission Fluid Pump Phase U-V-W Circuit High 
P0C23,Powertrain,Auxiliary Transmission Fluid Pump Control Module Circuit/Open
P0C24,Powertrain,Auxiliary Transmission Fluid Pump Control Module Circuit Low 
P0C25,Powertrain,Auxiliary Transmission Fluid Pump Control Module Circuit High
P0C26,Powertrain,Auxiliary Transmission Fluid Pump Motor Current 
P0C27,Powertrain,Auxiliary Transmission Fluid Pump Motor Current Low
P0C28,Powertrain,Auxiliary Transmission Fluid Pump Motor Current High 
P0C29,Powertrain,Auxiliary Transmission Fluid Pump Driver Circuit Performance 
P0C2A,Powertrain,Auxiliary Transmission Fluid Pump Motor Stalled 
P0C2B,Powertrain,Auxiliary Transmission Fluid Pump Control Module Feedback Signal
P0C2C,Powertrain,Auxiliary Transmission Fluid Pump Control Module Feedback Signal Range/Performance
P0C2D,Powertrain,Auxiliary Transmission Fluid Pump Control Module Feedback Signal Low
P0C2E,Powertrain,Auxiliary Transmission Fluid Pump Control Module Feedback Signal High 
P0C2F,Powertrain,Internal Control Module Drive Motor/Generator - Engine Speed Sensor Performance
P0C30,Powertrain,Hybrid Battery Pack State of Charge High
P0C31,Powertrain,Inverter  - Cooling System Performance
P0C32,Powertrain,Hybrid Battery Cooling System Performance
P0C33,Powertrain,Hybrid Battery Temperature Sensor - Circuit 
P0C34,Powertrain,Hybrid Battery Temperature Sensor - Circuit Range/Performance 
P0C35,Powertrain,Hybrid Battery Temperature Sensor - Circuit Low
P0C36,Powertrain,Hybrid Battery Temperature Sensor - Circuit High
P0C37,Powertrain,Hybrid Battery Temperature Sensor - Circuit Intermittent/Erratic
P0C38,Powertrain,DC/DC Converter Temperature Sensor  - Circuit 
P0C39,Powertrain,DC/DC Converter Temperature Sensor  - Range/Performance
P0C3A,Powertrain,DC/DC Converter Temperature Sensor  - Low
P0C3B,Powertrain,DC/DC Converter Temperature Sensor  - High 
P0C3C,Powertrain,DC/DC Converter Temperature Sensor  - Intermittent/Erratic
P0C3D,Powertrain,DC/DC Converter Temperature Sensor  - Circuit 
P0C3E,Powertrain,DC/DC Converter Temperature Sensor  - Range/Performance
P0C3F,Powertrain,DC/DC Converter Temperature Sensor  - Low
P0C40,Powertrain,DC/DC Converter Temperature Sensor  - High
P0C41,Powertrain,DC/DC Converter Temperature Sensor  - Intermittent/Erratic 
P0C42,Powertrain,Hybrid Battery Pack Coolant Temperature Sensor Circuit 
P0C43,Powertrain,Hybrid Battery Pack Coolant Temperature Sensor Circuit Range/Performance
P0C44,Powertrain,Hybrid Battery Pack Coolant Temperature Sensor Circuit Low 
P0C45,Powertrain,Hybrid Battery Pack Coolant Temperature Sensor Circuit High
P0C46,Powertrain,Hybrid Battery Pack Coolant Temperature Sensor Circuit Intermittent/Erratic
P0C47,Powertrain,Hybrid Battery Pack Coolant Pump Control Circuit/Open
P0C48,Powertrain,Hybrid Battery Pack Coolant Pump Control Circuit Low 
P0C49,Powertrain,Hybrid Battery Pack Coolant Pump Control Circuit High
P0C4A,Powertrain,Hybrid Battery Pack Coolant Pump Control Performance
P0C4B,Powertrain,Hybrid Battery Pack Coolant Pump Supply Voltage Circuit/Open 
P0C4C,Powertrain,Hybrid Battery Pack Coolant Pump Supply Voltage Circuit Low
P0C4D,Powertrain,Hybrid Battery Pack Coolant Pump Supply Voltage Circuit High 
P0C4E,Powertrain,Drive Motor  - Position Exceeded Learning Limit 
P0C4F,Powertrain,Drive Motor  - Position Exceeded Learning Limit
P0C50,Powertrain,Drive Motor  - Position Sensor Circuit  - 
P0C51,Powertrain,Drive Motor  - Position Sensor Circuit  - Range/Performance
